Type,Niveau(x),Questions,Réponse Vraie,Réponse Fausse,Réponse Fausse,Réponse Fausse
Lecture,CP,un,1,0,1,2
Lecture,CP,deux,2,10,1,12
Lecture,CP,trois,3,13,16,6
Lecture,CP,quatre,4,14,15,20
Lecture,CP,cinq,5,6,4,7
Lecture,CP,six,6,7,5,8
Lecture,CP,sept,7,6,5,16
Lecture,CP,huit,8,18,16,13
Lecture,CP,neuf,9,8,7,10
Lecture,CP,dix,10,17,9,6
Lecture,CP,onze,11,10,12,13
Lecture,CP,douze,12,10,11,13
Lecture,CP,treize,13,10,11,12
Lecture,CP,quatorze,14,12,13,15
Lecture,CP,quinze,15,16,17,13
Lecture,CP,seize,16,17,15,13
Lecture,CP,dix-sept,17,18,7,10
Lecture,CP,dix-huit,18,8,10,4
Lecture,CP,dix-neuf,19,9,10,90
Lecture,CP,vingt,20,2,13,10
Lecture,CP,trente,30,3,13,33
Lecture,CP,quarante,40,4,14,44
Lecture,CP,cinquante,50,5,60,16
Lecture,CE1,soixante,60,6,17,70
Lecture,CE1,soixante-dix,70,610,10,60
Lecture,CE1,quatre-vingt,80,420,20,40
Lecture,CE1,quatre-vingt-dix,90,20,410,80
Lecture,CE1,cent,100,10,300,20
Lecture,CE2,mille,1000,10,2000,100
Vocabulaire,CE1,Identifier l'intru,gouter,stylo,papier,crayon
Vocabulaire,CE1,Identifier l'intru,vélo,vache,loup,canard
Vocabulaire,CE1,Identifier l'intru,violon,chaussure,pantalong,pyjama
Vocabulaire,CE1,Identifier l'intru,chemise,tamboure,piano,flute
Vocabulaire,CE1,Trouver l'intru,route,bicyclette,moto,automobile
Vocabulaire,CE2,Identifier l'intru,dortoire,mouchoire,arosoire,rasoire
Vocabulaire,CE2,Identifier l'intru,consoler,affectueux,rassurant,apesant
Vocabulaire,CE2,Identifier l'intru,feter,réunir,rassembler,regrouper
Vocabulaire,CE2,Identifier l'intru,ami,cousin,soeur,tante
Vocabulaire,CM1,Identifier l'intru,arbre,tulipe ,rose,margurite
Vocabulaire,CM1,Identifier l'intru,saladier,cerisier,poirier,pommier
Vocabulaire,CM1,Identifier l'intru,aspirateur,danseur,chanteur,inspecteur
Vocabulaire,CM1,Identifier l'intru,propreter,méchanceter,grossièreter ,férossiter
